metabolite,cell_type,spearman_r,p_value,n_patients
L-Serine,DC,-0.5714285714285715,0.13895995716070672,8
L-Cysteine,Cycling_T/NK,-0.5855400437691199,0.12724658986372078,8
L-Serine,Unconventional_T/ILC,-0.5868368683374969,0.12619898553608944,8
L-Cysteine,Enteroendocrine,-0.5952380952380953,0.11952980613879269,8
L-Asparagine,DC,-0.5952380952380953,0.11952980613879269,8
Cholesterol,NK,-0.5952380952380953,0.11952980613879269,8
Citric acid,Melanocyte,-0.5952380952380953,0.11952980613879269,8
L-Cysteine,Monocyte,-0.5952380952380953,0.11952980613879269,8
Bile acid,Immature_B,-0.6,0.28475697986529386,5
Bile acid,Lymphatic_endothelia,-0.6,0.28475697986529386,5
Bile acid,Cycling_epithelia,-0.6,0.28475697986529386,5
Bile acid,NK,-0.6,0.28475697986529386,5
Urea,Fibroblast,-0.6,0.208,6
Urea,Transit_amplifying,-0.6,0.208,6
Bile acid,Mature_B,-0.6,0.28475697986529386,5
Fatty acid,Conventional_CD8,-0.6190476190476191,0.10173303745426478,8
L-Asparagine,Monocyte,-0.6190476190476191,0.10173303745426478,8
Fatty acid,Basal,-0.6190476190476191,0.10173303745426478,8
Fatty acid,DC,-0.6190476190476191,0.10173303745426478,8
L-Serine,Monocyte,-0.6190476190476191,0.10173303745426478,8
Cholic acid,Myoblast/myocyte,-0.6190476190476191,0.10173303745426478,8
L-Asparagine,NK,-0.6190476190476191,0.10173303745426478,8
Cholic acid,Fibroblast,-0.6190476190476191,0.10173303745426478,8
L-Alanine,Basal,-0.6428571428571429,0.08555889101267325,8
L-Alanine,Conventional_CD8,-0.6428571428571429,0.08555889101267325,8
L-Histidine,Epithelial_stem,-0.6428571428571429,0.08555889101267325,8
L-Serine,Enteroendocrine,-0.6428571428571429,0.08555889101267325,8
L-Cysteine,Keratinocyte,-0.6546536707079772,0.07814074941121583,8
L-Serine,Keratinocyte,-0.6546536707079772,0.07814074941121583,8
L-Alanine,Keratinocyte,-0.6546536707079772,0.07814074941121583,8
Cholesterol,Keratinocyte,-0.6546536707079772,0.07814074941121583,8
Fatty acid,Keratinocyte,-0.6546536707079772,0.07814074941121583,8
