metabolite,mean_fibrotic_minus_adjacent_z,median_fibrotic_minus_adjacent_z,std_fibrotic_minus_adjacent_z,n_patients,n_positive_patients,n_negative_patients,positive_patient_fraction
Hydroxylansoprazole,-7.430072205515477,1.2975679119552956,16.107378575161796,8,4,4,0.5
N-Desmethyltamoxifen,-7.430072205515477,1.2975679119552956,16.107378575161796,8,4,4,0.5
L-Dopa,-7.56674840622042,-7.949932700801319,11.11617732257476,6,2,4,0.3333333333333333
Taurocholic acid,-7.717142011434974,1.135133231310605,15.966890502629731,8,4,4,0.5
O-Desmethylverapamil (D-702),-7.896236157143492,0.15102534031053505,16.421698914822404,8,4,4,0.5
Sodium,-9.848227163025472,-2.545342622703295,21.951446266665624,8,4,4,0.5
Adenosylcobalamin,-11.566873039432005,-0.4835273507450163,17.904856504301275,8,4,4,0.5
Propionate,-12.644455113695953,-8.364394832769316,17.976327988100817,3,1,2,0.3333333333333333
beta-Dhydroxybutyrate,-12.644455113695953,-8.364394832769316,17.976327988100817,3,1,2,0.3333333333333333
Urea,-56.8719262307685,-23.404153009103574,89.0522566105946,6,2,4,0.3333333333333333
