annotation2v2,fraction,feature,normal_mean,fibrotic_mean,fibrotic_minus_normal,inflamed_mean,inflamed_minus_normal
CXCR6-hi CD4 T cells,epi,retinoid_vitamin_a_mean,0.000980028766207397,0.0016083457740023732,0.0006283170077949762,0.007847437635064125,0.006867408868856728
CXCR6-hi CD4 T cells,epi,epithelial_bile_urea_transport_mean,0.01162304449826479,0.007743927650153637,-0.0038791168481111526,0.006861676461994648,-0.004761368036270142
CXCR6-hi CD4 T cells,epi,fibrotic_amino_acid_transport_mean,0.042520180344581604,0.05909552797675133,0.016575347632169724,0.0450626015663147,0.0025424212217330933
CXCR6-hi CD4 T cells,imu,bile_acid_transport_mean,0.0005473878118209541,0.0006155489827506244,6.816117092967033e-05,0.0,-0.0005473878118209541
CXCR6-hi CD4 T cells,imu,ecm_remodeling_mean,0.012001333758234978,0.014069520868360996,0.0020681871101260185,0.016625598073005676,0.0046242643147706985
CXCR6-hi CD4 T cells,imu,epithelial_repair_mean,0.03388148546218872,0.018456600606441498,-0.015424884855747223,0.01069722045212984,-0.02318426501005888
CXCR6-hi CD4 T cells,imu,fatty_acid_metabolism_mean,0.034771084785461426,0.030792448669672012,-0.0039786361157894135,0.027803007513284683,-0.0069680772721767426
CXCR6-hi CD4 T cells,imu,glycolysis_mean,0.21589156985282898,0.21034057438373566,-0.005550995469093323,0.13806091248989105,-0.07783065736293793
CXCR6-hi CD4 T cells,imu,hypoxia_mean,0.1469932645559311,0.1285390406847,-0.01845422387123108,0.0823049321770668,-0.06468833237886429
CXCR6-hi CD4 T cells,imu,inflammation_mean,0.13337767124176025,0.11665460467338562,-0.016723066568374634,0.08239976316690445,-0.050977908074855804
CXCR6-hi CD4 T cells,imu,oxidative_phosphorylation_mean,0.18853014707565308,0.19500795006752014,0.006477802991867065,0.14983929693698883,-0.038690850138664246
CXCR6-hi CD4 T cells,imu,retinoid_vitamin_a_mean,0.0025445856153964996,0.0020617477130144835,-0.0004828379023820162,0.009489396587014198,0.006944810971617699
CXCR6-hi CD4 T cells,imu,epithelial_bile_urea_transport_mean,0.013511679135262966,0.00594651885330677,-0.007565160281956196,0.023252451792359352,0.009740772657096386
CXCR6-hi CD4 T cells,imu,fibrotic_amino_acid_transport_mean,0.05470799282193184,0.06698828935623169,0.01228029653429985,0.0451824925839901,-0.009525500237941742
Collagen-hi tissue fibroblast,epi,bile_acid_transport_mean,0.0,0.0,0.0,,
Collagen-hi tissue fibroblast,epi,ecm_remodeling_mean,0.9958310127258301,0.7725811004638672,-0.2232499122619629,,
Collagen-hi tissue fibroblast,epi,epithelial_repair_mean,0.0,0.26878052949905396,0.26878052949905396,,
Collagen-hi tissue fibroblast,epi,fatty_acid_metabolism_mean,0.052176088094711304,0.08006887137889862,0.027892783284187317,,
Collagen-hi tissue fibroblast,epi,glycolysis_mean,0.47934073209762573,0.2810160219669342,-0.19832471013069153,,
Collagen-hi tissue fibroblast,epi,hypoxia_mean,0.30229246616363525,0.28778472542762756,-0.01450774073600769,,
Collagen-hi tissue fibroblast,epi,inflammation_mean,0.3617892563343048,0.14020025730133057,-0.22158899903297424,,
Collagen-hi tissue fibroblast,epi,oxidative_phosphorylation_mean,0.05268402770161629,0.17668981850147247,0.12400579079985619,,
Collagen-hi tissue fibroblast,epi,retinoid_vitamin_a_mean,0.19271087646484375,0.11653157323598862,-0.07617930322885513,,
