top_fraction,region,gene,priority,mean_fibrotic_minus_adjacent_region_expression,median_fibrotic_minus_adjacent_region_expression,n_patients,positive_patient_fraction
0.3,stromal_fibrotic_region,ABCC3,False,-0.006550653071708875,0.011617567577140829,8,0.625
0.3,stromal_fibrotic_region,SLC10A2,False,-0.06195771456098496,-0.010943910581741656,8,0.25
0.3,stromal_fibrotic_region,SLC15A3,True,0.05004796144182702,0.04608217640604763,8,0.75
0.3,stromal_fibrotic_region,SLC1A4,False,0.011119021386550023,0.01152000441734656,8,0.625
0.3,stromal_fibrotic_region,SLC1A5,False,0.036382391367560246,0.03354879631375861,8,0.75
0.3,stromal_fibrotic_region,SLC38A2,True,0.11151103008204181,0.09960140223949915,8,0.75
0.3,stromal_fibrotic_region,SLC51A,False,-0.01645350025116933,-0.03060488333348794,8,0.25
0.3,stromal_fibrotic_region,SLC51B,False,-0.018335460171842347,-0.012157932075407746,8,0.25
0.3,stromal_fibrotic_region,SLC5A1,False,-0.044433382976937524,-0.052935545177925744,8,0.375
0.3,stromal_fibrotic_region,SLC7A5,False,0.023135115531063215,0.01617842511729943,8,0.5
0.3,stromal_fibrotic_region,SLCO2B1,True,0.06838835901681542,0.12435383441833378,8,0.75
