top_fraction,region,gene,mean_expression_in_region,mean_expression_outside_region,in_region_minus_outside,in_region_to_outside_ratio,n_in_region_spots,n_outside_region_spots,priority
0.1,stromal_fibrotic_region,SLC51B,0.03584145938247088,0.1103854594145623,-0.07454400003209143,0.32469366502217584,5890,52925,False
0.1,stromal_fibrotic_region,SLC5A1,0.2524059307570166,0.5513352511930871,-0.2989293204360705,0.4578084390773332,5890,52925,False
0.1,stromal_fibrotic_region,SLC7A5,0.07842253635563146,0.08222400425935501,-0.003801467903723557,0.9537669329295521,5890,52925,False
0.1,stromal_fibrotic_region,SLCO2B1,0.5033847388645384,0.3591482910501208,0.14423644781441758,1.4016069445651036,5890,52925,True
0.1,immune_inflammatory_region,ABCB1,0.08213915747221945,0.12355060227394779,-0.04141144480172834,0.6648219916410681,5890,52925,False
0.1,immune_inflammatory_region,ABCC3,0.07741380528956399,0.09355255715045717,-0.016138751860893183,0.8274899975749693,5890,52925,False
0.1,immune_inflammatory_region,SLC10A2,0.0574986411198493,0.10207802461096854,-0.04457938349111924,0.5632812874169876,5890,52925,False
0.1,immune_inflammatory_region,SLC15A3,0.36370693755372474,0.23830009896165646,0.12540683859206828,1.5262559232602197,5890,52925,False
0.1,immune_inflammatory_region,SLC1A4,0.11125992873022633,0.09837165228068744,0.012888276449538896,1.1310161632008,5890,52925,False
0.1,immune_inflammatory_region,SLC1A5,0.22146012958626188,0.16645647753028303,0.05500365205597885,1.330438640010102,5890,52925,False
0.1,immune_inflammatory_region,SLC38A2,0.7980542809656601,0.7003498055856634,0.09770447537999671,1.139508106664343,5890,52925,False
0.1,immune_inflammatory_region,SLC51A,0.06593143023386067,0.12098942118429834,-0.055057990950437674,0.5449354959176964,5890,52925,False
0.1,immune_inflammatory_region,SLC51B,0.05841946509779006,0.1078727630770426,-0.04945329797925255,0.5415589944244493,5890,52925,False
0.1,immune_inflammatory_region,SLC5A1,0.34263618212503166,0.5412935661565711,-0.19865738403153943,0.6329951130915953,5890,52925,False
0.1,immune_inflammatory_region,SLC7A5,0.09836399196718261,0.08000472842464483,0.01835926354253778,1.2294772309592936,5890,52925,False
0.1,immune_inflammatory_region,SLCO2B1,0.5225112971633116,0.35701970477936457,0.165491592383947,1.4635362983290223,5890,52925,True
0.2,epithelial_bile_region,ABCB1,0.32697272201100663,0.0674615219978847,0.25951120001312195,4.846803219489461,11772,47043,True
0.2,epithelial_bile_region,ABCC3,0.293042772582147,0.04161165064954282,0.2514311219326042,7.042325118274697,11772,47043,True
0.2,epithelial_bile_region,SLC10A2,0.3265316258879227,0.04032940392361874,0.286202221964304,8.096614234774021,11772,47043,True
0.2,epithelial_bile_region,SLC15A3,0.2248507240110571,0.25736717209104315,-0.03251644807998605,0.8736573595777654,11772,47043,False
0.2,epithelial_bile_region,SLC1A4,0.09299760123488857,0.1013301217065091,-0.00833252047162053,0.9177685733393797,11772,47043,False
0.2,epithelial_bile_region,SLC1A5,0.14624476962226957,0.17840094825074834,-0.032156178628478777,0.8197533200144081,11772,47043,False
0.2,epithelial_bile_region,SLC38A2,0.622535083112549,0.7320551448059871,-0.10952006169343809,0.8503936998865521,11772,47043,False
0.2,epithelial_bile_region,SLC51A,0.3993976465671637,0.044427271748565735,0.35497037481859794,8.98992062415036,11772,47043,True
0.2,epithelial_bile_region,SLC51B,0.35695257865720326,0.03935146311514714,0.3176011155420561,9.070884546597844,11772,47043,True
0.2,epithelial_bile_region,SLC5A1,1.3104534232675664,0.3239468444369443,0.9865065788306221,4.0452730000975325,11772,47043,True
0.2,epithelial_bile_region,SLC7A5,0.07779912535902435,0.08285532089438595,-0.005056195535361602,0.9389756085573957,11772,47043,False
0.2,epithelial_bile_region,SLCO2B1,0.44197959786789215,0.35647972258654737,0.08549987528134478,1.2398449893895067,11772,47043,False
0.2,epithelial_absorptive_region,ABCB1,0.3205227921955791,0.06907554690673856,0.25144724528884055,4.640177407908601,11772,47043,False
0.2,epithelial_absorptive_region,ABCC3,0.24410012632423606,0.05385901650095808,0.19024110982327797,4.532205416708525,11772,47043,False
0.2,epithelial_absorptive_region,SLC10A2,0.30626839730727845,0.045400056876265124,0.2608683404310133,6.7459914894378405,11772,47043,True
0.2,epithelial_absorptive_region,SLC15A3,0.2019060536734241,0.26310882673072633,-0.061202773057302234,0.7673860895592871,11772,47043,False
0.2,epithelial_absorptive_region,SLC1A4,0.09530757051030876,0.10075207697487536,-0.005444506464566595,0.9459613476164437,11772,47043,False
0.2,epithelial_absorptive_region,SLC1A5,0.14443495635777417,0.1788538343708861,-0.034418878013111914,0.8075586238663574,11772,47043,False
0.2,epithelial_absorptive_region,SLC38A2,0.62672033626871,0.7310078306433204,-0.10428749437461038,0.8573373772441909,11772,47043,False
0.2,epithelial_absorptive_region,SLC51A,0.3690616332217317,0.05201852972748769,0.317043103494244,7.094810929012316,11772,47043,True
0.2,epithelial_absorptive_region,SLC51B,0.33242491755483916,0.04548924400703393,0.28693567354780525,7.3077696675600246,11772,47043,True
0.2,epithelial_absorptive_region,SLC5A1,1.3111498352295883,0.32377257490445444,0.9873772603251338,4.049601284532853,11772,47043,True
0.2,epithelial_absorptive_region,SLC7A5,0.07775603012490993,0.08286610500883433,-0.005110074883924398,0.9383333525404673,11772,47043,False
0.2,epithelial_absorptive_region,SLCO2B1,0.4264116244750731,0.3603754389052402,0.06603618556983287,1.1832427475369567,11772,47043,False
0.2,stromal_fibrotic_region,ABCB1,0.064444613602801,0.13315633083621126,-0.06871171723341025,0.483977090673,11772,47043,False
0.2,stromal_fibrotic_region,ABCC3,0.04552968425756606,0.10354911373133963,-0.058019429473773566,0.43969168462121067,11772,47043,False
0.2,stromal_fibrotic_region,SLC10A2,0.03620586028835865,0.11298027467246699,-0.07677441438410834,0.32046178320348806,11772,47043,False
0.2,stromal_fibrotic_region,SLC15A3,0.3165097995235569,0.2344304835947069,0.08207931592885001,1.350122196867333,11772,47043,True
0.2,stromal_fibrotic_region,SLC1A4,0.10399611875151558,0.0985778621098479,0.0054182566416676875,1.0549642336088603,11772,47043,False
